Item Name,Base Item,Modifier,Slot,Level Req,Rarity,ATK,DEF,HP,Value
Witalności Miedziany Pierścień,Miedziany Pierścień,Witalności,accessory,1,Zwykły,3,4,214,375
Krwi Miedziany Pierścień,Miedziany Pierścień,Krwi,accessory,1,Zwykły,3,4,61,375
Magiczny Miedziany Pierścień,Miedziany Pierścień,Magiczny,accessory,1,Zwykły,3,4,11,375
Runiczny Miedziany Pierścień,Miedziany Pierścień,Runiczny,accessory,1,Zwykły,3,4,51,375
Przeklęty Miedziany Pierścień,Miedziany Pierścień,Przeklęty,accessory,1,Zwykły,4,6,-89,375
Święty Miedziany Pierścień,Miedziany Pierścień,Święty,accessory,1,Zwykły,3,5,161,375
Mroczny Miedziany Pierścień,Miedziany Pierścień,Mroczny,accessory,1,Zwykły,4,-6,11,375
Starożytny Miedziany Pierścień,Miedziany Pierścień,Starożytny,accessory,1,Zwykły,3,5,91,375
Mistyczny Miedziany Pierścień,Miedziany Pierścień,Mistyczny,accessory,1,Zwykły,3,5,11,375
Królewski Miedziany Pierścień,Miedziany Pierścień,Królewski,accessory,1,Zwykły,3,5,14,375
Nieziemski Miedziany Pierścień,Miedziany Pierścień,Nieziemski,accessory,1,Zwykły,4,5,131,375
Tytanowy Miedziany Pierścień,Miedziany Pierścień,Tytanowy,accessory,1,Zwykły,3,6,261,375
Demoniczny Miedziany Pierścień,Miedziany Pierścień,Demoniczny,accessory,1,Zwykły,4,-16,-39,375
Boski Miedziany Pierścień,Miedziany Pierścień,Boski,accessory,1,Zwykły,54,56,316,375
Ostry Żelazny Miecz,Żelazny Miecz,Ostry,weapon,5,Zwykły,17,0,0,600
Ciężki Żelazny Miecz,Żelazny Miecz,Ciężki,weapon,5,Zwykły,25,0,0,600
Zabójczy Żelazny Miecz,Żelazny Miecz,Zabójczy,weapon,5,Zwykły,22,0,0,600
Krwawy Żelazny Miecz,Żelazny Miecz,Krwawy,weapon,5,Zwykły,18,0,20,600
Ognisty Żelazny Miecz,Żelazny Miecz,Ognisty,weapon,5,Zwykły,29,0,0,600
Lodowy Żelazny Miecz,Żelazny Miecz,Lodowy,weapon,5,Zwykły,17,10,0,600
Trujący Żelazny Miecz,Żelazny Miecz,Trujący,weapon,5,Zwykły,20,0,-10,600
Potężny Żelazny Miecz,Żelazny Miecz,Potężny,weapon,5,Zwykły,24,0,0,600
Lekki Żelazny Miecz,Żelazny Miecz,Lekki,weapon,5,Zwykły,14,5,0,600
Szybki Żelazny Miecz,Żelazny Miecz,Szybki,weapon,5,Zwykły,21,0,0,600
Wampiryczny Żelazny Miecz,Żelazny Miecz,Wampiryczny,weapon,5,Zwykły,17,0,50,600
Przeklęty Żelazny Miecz,Żelazny Miecz,Przeklęty,weapon,5,Zwykły,32,0,-50,600
Święty Żelazny Miecz,Żelazny Miecz,Święty,weapon,5,Zwykły,19,10,30,600
Mroczny Żelazny Miecz,Żelazny Miecz,Mroczny,weapon,5,Zwykły,20,-10,0,600
Starożytny Żelazny Miecz,Żelazny Miecz,Starożytny,weapon,5,Zwykły,42,0,0,600
Mistyczny Żelazny Miecz,Żelazny Miecz,Mistyczny,weapon,5,Zwykły,21,0,40,600
Magiczny Żelazny Miecz,Żelazny Miecz,Magiczny,weapon,5,Zwykły,33,0,0,600
Królewski Żelazny Miecz,Żelazny Miecz,Królewski,weapon,5,Zwykły,20,15,0,600
Demoniczny Żelazny Miecz,Żelazny Miecz,Demoniczny,weapon,5,Zwykły,25,-20,0,600
Boski Żelazny Miecz,Żelazny Miecz,Boski,weapon,5,Zwykły,28,20,100,600
Solidny Żelazna Płytówka,Żelazna Płytówka,Solidny,armor,5,Zwykły,0,16,34,900
Gruby Żelazna Płytówka,Żelazna Płytówka,Gruby,armor,5,Zwykły,0,18,54,900
Wzmocniony Żelazna Płytówka,Żelazna Płytówka,Wzmocniony,armor,5,Zwykły,0,19,34,900
Żelaznego Muru Żelazna Płytówka,Żelazna Płytówka,Żelaznego Muru,armor,5,Zwykły,0,31,34,900
Lekki Żelazna Płytówka,Żelazna Płytówka,Lekki,armor,5,Zwykły,5,13,34,900
Zręczny Żelazna Płytówka,Żelazna Płytówka,Zręczny,armor,5,Zwykły,10,15,34,900
Zdrowy Żelazna Płytówka,Żelazna Płytówka,Zdrowy,armor,5,Zwykły,0,15,90,900
Żywotny Żelazna Płytówka,Żelazna Płytówka,Żywotny,armor,5,Zwykły,0,15,147,900
Niezniszczalny Żelazna Płytówka,Żelazna Płytówka,Niezniszczalny,armor,5,Zwykły,0,24,84,900
Ochronny Żelazna Płytówka,Żelazna Płytówka,Ochronny,armor,5,Zwykły,0,17,64,900
Kolczasty Żelazna Płytówka,Żelazna Płytówka,Kolczasty,armor,5,Zwykły,15,16,34,900
Odbijający Żelazna Płytówka,Żelazna Płytówka,Odbijający,armor,5,Zwykły,20,18,34,900
Święty Żelazna Płytówka,Żelazna Płytówka,Święty,armor,5,Zwykły,0,19,184,900
Mroczny Żelazna Płytówka,Żelazna Płytówka,Mroczny,armor,5,Zwykły,0,21,14,900
Starożytny Żelazna Płytówka,Żelazna Płytówka,Starożytny,armor,5,Zwykły,0,45,34,900
Zapomniany Żelazna Płytówka,Żelazna Płytówka,Zapomniany,armor,5,Zwykły,0,33,74,900
Królewski Żelazna Płytówka,Żelazna Płytówka,Królewski,armor,5,Zwykły,10,19,34,900
Tytanowy Żelazna Płytówka,Żelazna Płytówka,Tytanowy,armor,5,Zwykły,0,22,234,900
Demoniczny Żelazna Płytówka,Żelazna Płytówka,Demoniczny,armor,5,Zwykły,30,24,-16,900
Boski Żelazna Płytówka,Żelazna Płytówka,Boski,armor,5,Zwykły,20,27,334,900
Solidny Żelazny Szyszak,Żelazny Szyszak,Solidny,helmet,5,Zwykły,0,12,22,525
Gruby Żelazny Szyszak,Żelazny Szyszak,Gruby,helmet,5,Zwykły,0,13,42,525
Wzmocniony Żelazny Szyszak,Żelazny Szyszak,Wzmocniony,helmet,5,Zwykły,0,14,22,525
Żelaznego Muru Żelazny Szyszak,Żelazny Szyszak,Żelaznego Muru,helmet,5,Zwykły,0,25,22,525
Lekki Żelazny Szyszak,Żelazny Szyszak,Lekki,helmet,5,Zwykły,5,9,22,525
Zręczny Żelazny Szyszak,Żelazny Szyszak,Zręczny,helmet,5,Zwykły,10,11,22,525
Zdrowy Żelazny Szyszak,Żelazny Szyszak,Zdrowy,helmet,5,Zwykły,0,11,76,525
Żywotny Żelazny Szyszak,Żelazny Szyszak,Żywotny,helmet,5,Zwykły,0,11,130,525
Niezniszczalny Żelazny Szyszak,Żelazny Szyszak,Niezniszczalny,helmet,5,Zwykły,0,17,72,525
Ochronny Żelazny Szyszak,Żelazny Szyszak,Ochronny,helmet,5,Zwykły,0,12,52,525
Kolczasty Żelazny Szyszak,Żelazny Szyszak,Kolczasty,helmet,5,Zwykły,15,12,22,525
Odbijający Żelazny Szyszak,Żelazny Szyszak,Odbijający,helmet,5,Zwykły,20,13,22,525
Święty Żelazny Szyszak,Żelazny Szyszak,Święty,helmet,5,Zwykły,0,14,172,525
Mroczny Żelazny Szyszak,Żelazny Szyszak,Mroczny,helmet,5,Zwykły,0,15,2,525
Starożytny Żelazny Szyszak,Żelazny Szyszak,Starożytny,helmet,5,Zwykły,0,39,22,525
Zapomniany Żelazny Szyszak,Żelazny Szyszak,Zapomniany,helmet,5,Zwykły,0,28,62,525
Królewski Żelazny Szyszak,Żelazny Szyszak,Królewski,helmet,5,Zwykły,10,14,22,525
Tytanowy Żelazny Szyszak,Żelazny Szyszak,Tytanowy,helmet,5,Zwykły,0,16,222,525
Demoniczny Żelazny Szyszak,Żelazny Szyszak,Demoniczny,helmet,5,Zwykły,30,17,-28,525
Boski Żelazny Szyszak,Żelazny Szyszak,Boski,helmet,5,Zwykły,20,19,322,525
Błyszczący Żelazny Sygnet,Żelazny Sygnet,Błyszczący,accessory,5,Zwykły,11,11,24,750
Cenny Żelazny Sygnet,Żelazny Sygnet,Cenny,accessory,5,Zwykły,16,16,26,750
Szczęśliwy Żelazny Sygnet,Żelazny Sygnet,Szczęśliwy,accessory,5,Zwykły,12,12,22,750
Wojownika Żelazny Sygnet,Żelazny Sygnet,Wojownika,accessory,5,Zwykły,29,11,22,750
Strażnika Żelazny Sygnet,Żelazny Sygnet,Strażnika,accessory,5,Zwykły,11,29,22,750
Życia Żelazny Sygnet,Żelazny Sygnet,Życia,accessory,5,Zwykły,11,11,133,750
Witalności Żelazny Sygnet,Żelazny Sygnet,Witalności,accessory,5,Zwykły,11,11,228,750
Krwi Żelazny Sygnet,Żelazny Sygnet,Krwi,accessory,5,Zwykły,13,11,72,750
Magiczny Żelazny Sygnet,Żelazny Sygnet,Magiczny,accessory,5,Zwykły,12,12,22,750
Runiczny Żelazny Sygnet,Żelazny Sygnet,Runiczny,accessory,5,Zwykły,13,13,62,750
Przeklęty Żelazny Sygnet,Żelazny Sygnet,Przeklęty,accessory,5,Zwykły,16,16,-78,750
Święty Żelazny Sygnet,Żelazny Sygnet,Święty,accessory,5,Zwykły,11,15,172,750
Mroczny Żelazny Sygnet,Żelazny Sygnet,Mroczny,accessory,5,Zwykły,15,1,22,750
Starożytny Żelazny Sygnet,Żelazny Sygnet,Starożytny,accessory,5,Zwykły,13,13,102,750
Mistyczny Żelazny Sygnet,Żelazny Sygnet,Mistyczny,accessory,5,Zwykły,14,14,22,750
Królewski Żelazny Sygnet,Żelazny Sygnet,Królewski,accessory,5,Zwykły,14,14,28,750
Nieziemski Żelazny Sygnet,Żelazny Sygnet,Nieziemski,accessory,5,Zwykły,15,15,142,750
Tytanowy Żelazny Sygnet,Żelazny Sygnet,Tytanowy,accessory,5,Zwykły,11,16,272,750
Demoniczny Żelazny Sygnet,Żelazny Sygnet,Demoniczny,accessory,5,Zwykły,17,-9,-28,750
Boski Żelazny Sygnet,Żelazny Sygnet,Boski,accessory,5,Zwykły,66,66,333,750
Ostry Stalowy Miecz Długi,Stalowy Miecz Długi,Ostry,weapon,15,Zwykły,69,0,0,3750
Ciężki Stalowy Miecz Długi,Stalowy Miecz Długi,Ciężki,weapon,15,Zwykły,83,0,0,3750
Zabójczy Stalowy Miecz Długi,Stalowy Miecz Długi,Zabójczy,weapon,15,Zwykły,88,0,0,3750
Krwawy Stalowy Miecz Długi,Stalowy Miecz Długi,Krwawy,weapon,15,Zwykły,72,0,20,3750
Ognisty Stalowy Miecz Długi,Stalowy Miecz Długi,Ognisty,weapon,15,Zwykły,85,0,0,3750
Lodowy Stalowy Miecz Długi,Stalowy Miecz Długi,Lodowy,weapon,15,Zwykły,69,10,0,3750
Trujący Stalowy Miecz Długi,Stalowy Miecz Długi,Trujący,weapon,15,Zwykły,81,0,-10,3750
Potężny Stalowy Miecz Długi,Stalowy Miecz Długi,Potężny,weapon,15,Zwykły,94,0,0,3750
Lekki Stalowy Miecz Długi,Stalowy Miecz Długi,Lekki,weapon,15,Zwykły,56,5,0,3750
Szybki Stalowy Miecz Długi,Stalowy Miecz Długi,Szybki,weapon,15,Zwykły,71,0,0,3750
Wampiryczny Stalowy Miecz Długi,Stalowy Miecz Długi,Wampiryczny,weapon,15,Zwykły,69,0,50,3750
Przeklęty Stalowy Miecz Długi,Stalowy Miecz Długi,Przeklęty,weapon,15,Zwykły,126,0,-50,3750
Święty Stalowy Miecz Długi,Stalowy Miecz Długi,Święty,weapon,15,Zwykły,75,10,30,3750
Mroczny Stalowy Miecz Długi,Stalowy Miecz Długi,Mroczny,weapon,15,Zwykły,81,-10,0,3750
Starożytny Stalowy Miecz Długi,Stalowy Miecz Długi,Starożytny,weapon,15,Zwykły,108,0,0,3750
Mistyczny Stalowy Miecz Długi,Stalowy Miecz Długi,Mistyczny,weapon,15,Zwykły,85,0,40,3750
Magiczny Stalowy Miecz Długi,Stalowy Miecz Długi,Magiczny,weapon,15,Zwykły,87,0,0,3750
Królewski Stalowy Miecz Długi,Stalowy Miecz Długi,Królewski,weapon,15,Zwykły,78,15,0,3750
Demoniczny Stalowy Miecz Długi,Stalowy Miecz Długi,Demoniczny,weapon,15,Zwykły,100,-20,0,3750
Boski Stalowy Miecz Długi,Stalowy Miecz Długi,Boski,weapon,15,Zwykły,113,20,100,3750
Solidny Stalowy Kirys,Stalowy Kirys,Solidny,armor,15,Zwykły,0,60,107,6000
Gruby Stalowy Kirys,Stalowy Kirys,Gruby,armor,15,Zwykły,0,66,127,6000
Wzmocniony Stalowy Kirys,Stalowy Kirys,Wzmocniony,armor,15,Zwykły,0,71,107,6000
Żelaznego Muru Stalowy Kirys,Stalowy Kirys,Żelaznego Muru,armor,15,Zwykły,0,87,107,6000
Lekki Stalowy Kirys,Stalowy Kirys,Lekki,armor,15,Zwykły,5,49,107,6000
Zręczny Stalowy Kirys,Stalowy Kirys,Zręczny,armor,15,Zwykły,10,57,107,6000
Zdrowy Stalowy Kirys,Stalowy Kirys,Zdrowy,armor,15,Zwykły,0,55,178,6000
Żywotny Stalowy Kirys,Stalowy Kirys,Żywotny,armor,15,Zwykły,0,55,249,6000
Niezniszczalny Stalowy Kirys,Stalowy Kirys,Niezniszczalny,armor,15,Zwykły,0,88,157,6000
Ochronny Stalowy Kirys,Stalowy Kirys,Ochronny,armor,15,Zwykły,0,63,137,6000
Kolczasty Stalowy Kirys,Stalowy Kirys,Kolczasty,armor,15,Zwykły,15,60,107,6000
Odbijający Stalowy Kirys,Stalowy Kirys,Odbijający,armor,15,Zwykły,20,68,107,6000
Święty Stalowy Kirys,Stalowy Kirys,Święty,armor,15,Zwykły,0,71,257,6000
Mroczny Stalowy Kirys,Stalowy Kirys,Mroczny,armor,15,Zwykły,0,77,87,6000
Starożytny Stalowy Kirys,Stalowy Kirys,Starożytny,armor,15,Zwykły,0,99,107,6000
Zapomniany Stalowy Kirys,Stalowy Kirys,Zapomniany,armor,15,Zwykły,0,81,147,6000
Królewski Stalowy Kirys,Stalowy Kirys,Królewski,armor,15,Zwykły,10,71,107,6000
Tytanowy Stalowy Kirys,Stalowy Kirys,Tytanowy,armor,15,Zwykły,0,82,307,6000
Demoniczny Stalowy Kirys,Stalowy Kirys,Demoniczny,armor,15,Zwykły,30,88,57,6000
Boski Stalowy Kirys,Stalowy Kirys,Boski,armor,15,Zwykły,20,99,407,6000
Solidny Stalowa Przyłbica,Stalowa Przyłbica,Solidny,helmet,15,Zwykły,0,45,76,2700
Gruby Stalowa Przyłbica,Stalowa Przyłbica,Gruby,helmet,15,Zwykły,0,49,96,2700
Wzmocniony Stalowa Przyłbica,Stalowa Przyłbica,Wzmocniony,helmet,15,Zwykły,0,53,76,2700
Żelaznego Muru Stalowa Przyłbica,Stalowa Przyłbica,Żelaznego Muru,helmet,15,Zwykły,0,67,76,2700
Lekki Stalowa Przyłbica,Stalowa Przyłbica,Lekki,helmet,15,Zwykły,5,36,76,2700
Zręczny Stalowa Przyłbica,Stalowa Przyłbica,Zręczny,helmet,15,Zwykły,10,43,76,2700
Zdrowy Stalowa Przyłbica,Stalowa Przyłbica,Zdrowy,helmet,15,Zwykły,0,41,141,2700
Żywotny Stalowa Przyłbica,Stalowa Przyłbica,Żywotny,helmet,15,Zwykły,0,41,206,2700
Niezniszczalny Stalowa Przyłbica,Stalowa Przyłbica,Niezniszczalny,helmet,15,Zwykły,0,65,126,2700
Ochronny Stalowa Przyłbica,Stalowa Przyłbica,Ochronny,helmet,15,Zwykły,0,47,106,2700
Kolczasty Stalowa Przyłbica,Stalowa Przyłbica,Kolczasty,helmet,15,Zwykły,15,45,76,2700
Odbijający Stalowa Przyłbica,Stalowa Przyłbica,Odbijający,helmet,15,Zwykły,20,51,76,2700
Święty Stalowa Przyłbica,Stalowa Przyłbica,Święty,helmet,15,Zwykły,0,53,226,2700
Mroczny Stalowa Przyłbica,Stalowa Przyłbica,Mroczny,helmet,15,Zwykły,0,57,56,2700
Starożytny Stalowa Przyłbica,Stalowa Przyłbica,Starożytny,helmet,15,Zwykły,0,80,76,2700
Zapomniany Stalowa Przyłbica,Stalowa Przyłbica,Zapomniany,helmet,15,Zwykły,0,64,116,2700
Królewski Stalowa Przyłbica,Stalowa Przyłbica,Królewski,helmet,15,Zwykły,10,53,76,2700
Tytanowy Stalowa Przyłbica,Stalowa Przyłbica,Tytanowy,helmet,15,Zwykły,0,61,276,2700
Demoniczny Stalowa Przyłbica,Stalowa Przyłbica,Demoniczny,helmet,15,Zwykły,30,65,26,2700
Boski Stalowa Przyłbica,Stalowa Przyłbica,Boski,helmet,15,Zwykły,20,73,376,2700
Błyszczący Srebrny Amulet,Srebrny Amulet,Błyszczący,accessory,15,Zwykły,46,41,83,5250
Cenny Srebrny Amulet,Srebrny Amulet,Cenny,accessory,15,Zwykły,51,46,91,5250
Szczęśliwy Srebrny Amulet,Srebrny Amulet,Szczęśliwy,accessory,15,Zwykły,50,45,76,5250
Wojownika Srebrny Amulet,Srebrny Amulet,Wojownika,accessory,15,Zwykły,74,41,76,5250
Strażnika Srebrny Amulet,Srebrny Amulet,Strażnika,accessory,15,Zwykły,46,68,76,5250
Życia Srebrny Amulet,Srebrny Amulet,Życia,accessory,15,Zwykły,46,41,214,5250
Witalności Srebrny Amulet,Srebrny Amulet,Witalności,accessory,15,Zwykły,46,41,298,5250
Krwi Srebrny Amulet,Srebrny Amulet,Krwi,accessory,15,Zwykły,55,41,126,5250
Magiczny Srebrny Amulet,Srebrny Amulet,Magiczny,accessory,15,Zwykły,52,47,76,5250
Runiczny Srebrny Amulet,Srebrny Amulet,Runiczny,accessory,15,Zwykły,55,49,116,5250
Przeklęty Srebrny Amulet,Srebrny Amulet,Przeklęty,accessory,15,Zwykły,69,61,-24,5250
Święty Srebrny Amulet,Srebrny Amulet,Święty,accessory,15,Zwykły,46,57,226,5250
Mroczny Srebrny Amulet,Srebrny Amulet,Mroczny,accessory,15,Zwykły,64,31,76,5250
Starożytny Srebrny Amulet,Srebrny Amulet,Starożytny,accessory,15,Zwykły,57,51,156,5250
Mistyczny Srebrny Amulet,Srebrny Amulet,Mistyczny,accessory,15,Zwykły,59,53,76,5250
Królewski Srebrny Amulet,Srebrny Amulet,Królewski,accessory,15,Zwykły,59,53,98,5250
Nieziemski Srebrny Amulet,Srebrny Amulet,Nieziemski,accessory,15,Zwykły,64,57,196,5250
Tytanowy Srebrny Amulet,Srebrny Amulet,Tytanowy,accessory,15,Zwykły,46,61,326,5250
Demoniczny Srebrny Amulet,Srebrny Amulet,Demoniczny,accessory,15,Zwykły,73,21,26,5250
Boski Srebrny Amulet,Srebrny Amulet,Boski,accessory,15,Zwykły,119,111,414,5250
Ostry Mithrilowe Ostrze,Mithrilowe Ostrze,Ostry,weapon,30,Zwykły,185,0,0,30000
Ciężki Mithrilowe Ostrze,Mithrilowe Ostrze,Ciężki,weapon,30,Zwykły,216,0,0,30000
Zabójczy Mithrilowe Ostrze,Mithrilowe Ostrze,Zabójczy,weapon,30,Zwykły,236,0,0,30000
Krwawy Mithrilowe Ostrze,Mithrilowe Ostrze,Krwawy,weapon,30,Zwykły,194,0,20,30000
Ognisty Mithrilowe Ostrze,Mithrilowe Ostrze,Ognisty,weapon,30,Zwykły,212,0,0,30000
Lodowy Mithrilowe Ostrze,Mithrilowe Ostrze,Lodowy,weapon,30,Zwykły,185,10,0,30000
Trujący Mithrilowe Ostrze,Mithrilowe Ostrze,Trujący,weapon,30,Zwykły,219,0,-10,30000
Potężny Mithrilowe Ostrze,Mithrilowe Ostrze,Potężny,weapon,30,Zwykły,253,0,0,30000
Lekki Mithrilowe Ostrze,Mithrilowe Ostrze,Lekki,weapon,30,Zwykły,152,5,0,30000
Szybki Mithrilowe Ostrze,Mithrilowe Ostrze,Szybki,weapon,30,Zwykły,182,0,0,30000
Wampiryczny Mithrilowe Ostrze,Mithrilowe Ostrze,Wampiryczny,weapon,30,Zwykły,185,0,50,30000
Przeklęty Mithrilowe Ostrze,Mithrilowe Ostrze,Przeklęty,weapon,30,Zwykły,338,0,-50,30000
Święty Mithrilowe Ostrze,Mithrilowe Ostrze,Święty,weapon,30,Zwykły,202,10,30,30000
Mroczny Mithrilowe Ostrze,Mithrilowe Ostrze,Mroczny,weapon,30,Zwykły,219,-10,0,30000
Starożytny Mithrilowe Ostrze,Mithrilowe Ostrze,Starożytny,weapon,30,Zwykły,256,0,0,30000
Mistyczny Mithrilowe Ostrze,Mithrilowe Ostrze,Mistyczny,weapon,30,Zwykły,228,0,40,30000
Magiczny Mithrilowe Ostrze,Mithrilowe Ostrze,Magiczny,weapon,30,Zwykły,209,0,0,30000
Królewski Mithrilowe Ostrze,Mithrilowe Ostrze,Królewski,weapon,30,Zwykły,211,15,0,30000
Demoniczny Mithrilowe Ostrze,Mithrilowe Ostrze,Demoniczny,weapon,30,Zwykły,270,-20,0,30000
